DETECTER;DETECTER;INFORMER;INFORMER;MEMORISER;MEMORISER;AGIR;AGIR;
TA0011: Information préexistante : Technique utilise des informations préexistantes ou des croyances établies pour capter l’attention de la cible.;TE0111Heuristique de disponibilité;TA0021: Création d’un motif Technique qui permet de mettre en récit une information reçu, de l’intégrer dans un contexte préexistant.;T0211: biais de corrélation illusoire;;;;
;TE0112 Effet de simple exposition;;T0212: Biais de la preuve anecdotique;;;;
;TE0113 Illusion de fréquence;;T0213: Illusion des séries;;;;
TA0012: Information à exposition répétée Technique qui repose sur l’exploitation de la répétition de l’information en vue de faciliter sa détection par la cible.;TE0121-Illusion de la fréquence;TA0022: Généralisation et renforcement de stéréotypes Technique qui vise à simplifier une ou des informlations perçues pour les rendre acceptable et/ou intelligible par la cible;;;;;
;T0122-Effet de contexte;;;;;;
TA0013: Information clivante Technique qui favorise les informations clivantes, étranges ou surprenantes pour capter l’attention de la cible.;TE0131-Effet de bizarrerie;TA0023: Supériorité familière Technique qui permet de valoriser une informaiton aux yeux de la cible par exploitation des proximités;TE0231-Biais d'homogénéité;;;;
;TE0132-Biais de négativité;;TE0232 Biais de la route connue;;;;
TA0014: Ecart à la norme Technique qui propose repose sur la capacité à détecter les changements dans notre environnement;-Effet von Restorff;TA0024 simplication  Technique qui simplifie les concepts et favorise les ordres de grandeurs pour faciliter l'acceptabilité d'une informaiton;TE0241 Biais de la somme nulle;;;;
;-Biais d’ancrage;;TE0242 Biais de normalité;;;;
;-Effet de contraste;;;;;;
TA0015: Détail signifiant Techique qui exploite la propension d'une cible à détecter un détail et à lui donner du sens;T0151: Biais de distinction;TA0025 Autocentrage Techique qui favorise l'impression;;;;;
;T0152: Loi de Weber-Fechner;;;;;;
;;TA0026 Projection temporelle;;;;;
;;;;;;;
